timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1493670763381,161,GET: Home Page,200,OK,Users 1-1,text,true,,5750,182,1,1,159,0,80
1493670763547,26,GET: Sign In Page,200,OK,Users 1-1,text,true,,5309,189,1,1,26,0,0
1493670763574,162,POST: Sign In Page,200,OK,Users 1-1,text,true,,6020,418,1,1,110,0,0
1493670763737,48,GET: Home Page,200,OK,Users 1-1,text,true,,5739,261,1,1,48,0,0
1493670763786,302,GET: Dashboard Page,200,OK,Users 1-1,text,true,,5716,276,1,1,302,0,0
1493670764093,52,GET: Create Event Page,200,OK,Users 1-1,text,true,,6986,274,1,1,52,0,0
1493670764146,364,GET: Manage Events Page,200,OK,Users 1-1,text,true,,1209103,274,1,1,336,0,0
1493670764515,264,POST: Create Event Page,200,OK,Users 1-1,text,true,,5805,91429,1,1,263,0,0
1493670764780,57,GET: Search Events Page,200,OK,Users 1-1,text,true,,4884,274,1,1,57,0,0
1493670764838,355,POST: Search Events Page,200,OK,Users 1-1,text,true,,1209623,302,1,1,330,0,0
1493670765213,84,GET: Sign Out Page,200,OK,Users 1-1,text,true,,6019,451,1,1,49,0,0
1493670767301,41,GET: Home Page,200,OK,Users 1-2,text,true,,5750,182,1,1,41,0,2
1493670767343,21,GET: Sign In Page,200,OK,Users 1-2,text,true,,5309,189,1,1,20,0,0
1493670767364,186,POST: Sign In Page,200,OK,Users 1-2,text,true,,6020,418,1,1,83,0,0
1493670767550,74,GET: Home Page,200,OK,Users 1-2,text,true,,5739,261,1,1,73,0,0
1493670767624,277,GET: Dashboard Page,200,OK,Users 1-2,text,true,,5716,276,1,1,277,0,0
1493670767902,50,GET: Create Event Page,200,OK,Users 1-2,text,true,,6986,274,1,1,50,0,0
1493670767953,323,GET: Manage Events Page,200,OK,Users 1-2,text,true,,1329623,274,1,1,299,0,0
1493670768284,300,POST: Create Event Page,200,OK,Users 1-2,text,true,,5805,91429,1,1,300,0,0
1493670768585,59,GET: Search Events Page,200,OK,Users 1-2,text,true,,4884,274,1,1,59,0,0
1493670768645,383,POST: Search Events Page,200,OK,Users 1-2,text,true,,1209625,302,1,1,357,0,0
1493670769033,67,GET: Sign Out Page,200,OK,Users 1-2,text,true,,6019,451,1,1,26,0,0
1493670771302,40,GET: Home Page,200,OK,Users 1-3,text,true,,5750,182,1,1,40,0,1
1493670771343,21,GET: Sign In Page,200,OK,Users 1-3,text,true,,5309,189,1,1,21,0,0
1493670771365,136,POST: Sign In Page,200,OK,Users 1-3,text,true,,6020,418,1,1,72,0,0
1493670771502,49,GET: Home Page,200,OK,Users 1-3,text,true,,5739,261,1,1,49,0,0
1493670771552,328,GET: Dashboard Page,200,OK,Users 1-3,text,true,,5716,276,1,1,327,0,0
1493670771881,53,GET: Create Event Page,200,OK,Users 1-3,text,true,,6986,274,1,1,53,0,0
1493670771934,358,GET: Manage Events Page,200,OK,Users 1-3,text,true,,1450022,274,1,1,304,0,0
1493670772305,265,POST: Create Event Page,200,OK,Users 1-3,text,true,,5805,91420,1,1,265,0,0
1493670772570,55,GET: Search Events Page,200,OK,Users 1-3,text,true,,4884,274,1,1,55,0,0
1493670772626,370,POST: Search Events Page,200,OK,Users 1-3,text,true,,1209678,302,1,1,348,0,0
1493670772999,69,GET: Sign Out Page,200,OK,Users 1-3,text,true,,6019,451,1,1,30,0,0
1493670775301,161,GET: Home Page,200,OK,Users 1-4,text,true,,5750,182,1,1,161,0,1
